market,price,year,month,years_since_start,past_1_months_mean_price,past_2_months_mean_price,past_3_months_mean_price,past_4_months_mean_price,past_5_months_mean_price,past_6_months_mean_price,past_7_months_mean_price,past_8_months_mean_price,past_9_months_mean_price,past_10_months_mean_price,past_11_months_mean_price,past_1_years_mean_price,past_2_years_mean_price,past_3_years_mean_price,past_4_years_mean_price,past_5_years_mean_price,past_6_years_mean_price,past_7_years_mean_price,past_8_years_mean_price,past_9_years_mean_price,past_10_years_mean_price,past_11_years_mean_price,past_12_years_mean_price,past_13_years_mean_price,past_14_years_mean_price,past_15_years_mean_price,past_16_years_mean_price,past_17_years_mean_price,yearly_average_price,monthly_average_price,market_average_price,commodity_yearly_average_price,commodity_monthly_average_price
0,73000.0,2007,1,1,4.850301541806611,4.857608869082459,4.868791333198155,4.866425192406523,4.867310074235683,4.866167399847422,4.8693414532559265,4.889939195865749,4.887791832515727,4.890203410551466,4.8878980758214405,4.881791143995491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,153286.17888888888,149774.35743961352,59632.5,145937.06104046243
0,65500.0,2007,2,1,4.840419777736487,4.839242295365205,4.8476304892514195,4.8587777373054495,4.858453649000064,4.860372021407683,4.860231613855547,4.863752050862088,4.883107342178121,4.8817530152791955,4.884498867630549,4.882786778060997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,151190.72055555554,149774.35743961352,59632.5,147128.15209039548
0,64600.0,2007,3,1,4.813247300897605,4.830588668685144,4.832169487537022,4.840404098952322,4.85105440671866,4.851884146777129,4.854412134879566,4.854952062575627,4.8586873099930905,4.876965137221461,4.876222802416255,4.879215833418292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,156721.885,149774.35743961352,59632.5,151858.81541899443
0,64000.0,2007,4,1,4.808210972924222,4.810904280668701,4.8246138966934105,4.8270945207534846,4.834884106523134,4.844920740774438,4.846427325582056,4.849310024427237,4.850314065858956,4.854167752350316,4.871487605420629,4.8712182021989285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,156945.47499999998,149774.35743961352,59632.5,153214.37885869565
0,57500.0,2007,5,1,4.78354628227035,4.792625118411104,4.798650645445269,4.812378511154194,4.816558892905601,4.8249041500571765,4.8351354611505615,4.8376001300823495,4.841133973036493,4.842812231640694,4.847032333903654,4.863837210396827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,156117.825,149774.35743961352,59632.5,148110.1680110497
0,55600.0,2007,6,1,4.752432609261474,4.771097306470413,4.781216659079688,4.7884512070234555,4.801860862145781,4.8070394719220175,4.815691868442476,4.826002774426028,4.8291858024286345,4.833228125119599,4.835456945938083,4.839985193527714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,141732.96,149774.35743961352,59632.5,134842.72182352943
0,57700.0,2007,7,1,4.753199914199416,4.755366611633324,4.768638101247615,4.777281791671014,4.784022612981005,4.796276905177868,4.801564482418371,4.809961653101628,4.819938569355395,4.82342482728995,4.827659863371646,4.830172941588269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,142779.55125,149774.35743961352,59632.5,132541.06209876543
0,58600.0,2007,8,1,4.764549719064467,4.75815462196739,4.758533422237287,4.768490105171245,4.775731776260231,4.781755374652469,4.7928292658394565,4.797950038745945,4.805933917184362,4.815456993566947,4.819059289789878,4.823343665380303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,141965.05470588236,149774.35743961352,59632.5,128976.72190476191
0,53300.0,2007,9,1,4.747800090864369,4.752304593201033,4.750508394851346,4.752355804153501,4.761802591272753,4.769060669494919,4.7752462597402365,4.785962226068125,4.791330926704215,4.799301379714488,4.808717242049247,4.81261344601134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,148364.54058823528,149774.35743961352,59632.5,138778.44173652693
0,58900.0,2007,10,1,4.748962861256161,4.755366611633324,4.756826213077907,4.754501229386917,4.755366611633324,4.762999906311022,4.769192637796977,4.774679136933535,4.7844033017530085,4.789444493080248,4.79694273752345,4.805866667863359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61216.666666666664,148543.46,149774.35743961352,59632.5,140870.79761290323
