market,price,year,month,years_since_start,past_1_months_mean_price,past_2_months_mean_price,past_3_months_mean_price,past_4_months_mean_price,past_5_months_mean_price,past_6_months_mean_price,past_7_months_mean_price,past_8_months_mean_price,past_9_months_mean_price,past_10_months_mean_price,past_11_months_mean_price,past_1_years_mean_price,past_2_years_mean_price,past_3_years_mean_price,past_4_years_mean_price,past_5_years_mean_price,past_6_years_mean_price,past_7_years_mean_price,past_8_years_mean_price,past_9_years_mean_price,past_10_years_mean_price,past_11_years_mean_price,past_12_years_mean_price,past_13_years_mean_price,past_14_years_mean_price,past_15_years_mean_price,past_16_years_mean_price,past_17_years_mean_price,yearly_average_price,monthly_average_price,market_average_price,commodity_yearly_average_price,commodity_monthly_average_price
0,80714.29,2006,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,143950.38117647058,135239.689947644,58863.85614035087,151678.18354838708
0,65083.33,2006,2,0,4.862720438953755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,140508.18470588236,135239.689947644,58863.85614035087,148642.68615384615
0,46875.0,2006,3,0,4.74802641612734,4.807698748323094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,137553.76470588235,135239.689947644,58863.85614035087,144184.21598726115
0,49136.36,2006,4,0,4.6812926258488545,4.729959970729317,4.781412433782525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,136063.08470588236,135239.689947644,58863.85614035087,144626.4211728395
0,52346.15,2006,5,0,4.705361204565539,4.694188280894481,4.727217530085062,4.7696064224526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,139267.58470588236,135239.689947644,58863.85614035087,145781.7750295858
0,56375.0,2006,6,0,4.735284041842767,4.721143993364604,4.7091268195444025,4.732097437748054,4.766574103532007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,129719.5075,135239.689947644,58863.85614035087,138905.95857142855
0,57000.0,2006,7,0,4.75348730440417,4.742256683646162,4.730090547025017,4.718887665712,4.736151847225451,4.765061683022497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,124070.43875,135239.689947644,58863.85614035087,137659.8058
0,52000.0,2006,8,0,4.7363965022766426,4.741348602475895,4.735840628260373,4.727309425047038,4.718408273676094,4.7333300905090745,4.759224005038671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,121228.3475,135239.689947644,58863.85614035087,136386.07479166667
0,49187.5,2006,9,0,4.704096870433467,4.722050907782667,4.729493829441863,4.727392644334947,4.7215976873063275,4.714712874157657,4.728357171128494,4.752234279261504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,130579.818,135239.689947644,58863.85614035087,142562.78928571427
0,51010.0,2006,10,0,4.699826890041401,4.705286264041292,4.718496498892646,4.72521309754752,4.72416475521125,4.7196331161973415,4.713836926978124,4.726105098772142,4.747976745642412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,133155.29357142857,135239.689947644,58863.85614035087,153264.29236220472
0,50890.0,2006,11,0,4.707144188342445,4.702107280396434,4.705623202150268,4.716149475843419,4.722171004228938,4.721703058384727,4.718029157403698,4.713042306254326,4.724196656896851,4.744376654111956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,140658.18399999998,135239.689947644,58863.85614035087,154270.99283582089
0,50150.0,2006,12,0,4.703463341883293,4.704865169760488,4.701648922061642,4.704558013111883,4.71354304167145,4.719109228545587,4.7190811744874726,4.716091502034164,4.7117819380300165,4.722075246684931,4.740867513360469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.96916666667,145922.35285714286,135239.689947644,58863.85614035087,160294.6263934426
